City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,9.12,74,75,3.6,CA,1696110670
1,waitangi,-43.9535,-176.5597,11.01,77,89,4.02,NZ,1696110822
2,port-aux-francais,-49.35,70.2167,4.54,97,100,12.98,TF,1696110823
3,albany,42.6001,-73.9662,19.21,87,79,0.45,US,1696110621
4,college,64.8569,-147.8028,9.0,51,75,5.14,US,1696110823
5,puerto aysen,-45.4,-72.7,9.88,95,76,2.06,CL,1696110824
6,ola,59.5833,151.2833,3.97,77,100,1.77,RU,1696110824
7,siverek,37.755,39.3167,21.27,65,98,2.0,TR,1696110825
8,puerto natales,-51.7236,-72.4875,5.25,74,100,6.7,CL,1696110825
9,margaret river,-33.95,115.0667,14.76,76,99,7.33,AU,1696110825
10,talnakh,69.4865,88.3972,-6.55,93,22,1.2,RU,1696110826
11,mount isa,-20.7333,139.5,20.87,40,6,2.57,AU,1696110827
12,midvagur,62.0511,-7.1939,9.46,81,100,3.6,FO,1696110827
13,gargalianoi,37.0667,21.6333,18.53,71,29,0.9,GR,1696110827
14,novyy urgal,51.0736,132.5642,6.51,91,96,1.2,RU,1696110828
15,port saint john's,-31.6229,29.5448,17.02,61,100,8.89,ZA,1696110828
16,saint-philippe,-21.3585,55.7679,21.77,80,42,6.4,RE,1696110829
17,iqaluit,63.7506,-68.5145,2.85,93,100,7.2,CA,1696110829
18,lata,40.1629,-8.3327,23.84,55,5,0.62,PT,1696110830
19,vila franca do campo,37.7167,-25.4333,22.16,99,100,3.81,PT,1696110830
20,adamstown,-25.066,-130.1015,20.55,87,99,11.57,PN,1696110830
21,stanley,54.868,-1.6985,10.85,95,75,2.57,GB,1696110831
22,altai,46.3722,96.2583,2.94,56,100,1.42,MN,1696110832
23,tiksi,71.6872,128.8694,-3.19,87,100,4.22,RU,1696110832
24,la mira,18.035,-102.3266,30.68,73,14,3.45,MX,1696110832
25,edinburgh of the seven seas,-37.0676,-12.3116,10.69,71,100,17.35,SH,1696110833
26,qaqortoq,60.7167,-46.0333,2.42,85,60,0.32,GL,1696110833
27,yangquan,37.8575,113.5633,12.44,39,11,0.79,CN,1696110834
28,rawlins,41.7911,-107.2387,24.08,12,0,10.29,US,1696110835
29,georgetown,5.4112,100.3354,25.96,94,20,1.03,MY,1696110539
30,afaahiti,-17.75,-149.2833,26.93,86,3,8.88,PF,1696110835
31,puerto ayora,-0.7393,-90.3518,28.98,92,100,2.68,EC,1696110836
32,poso,-1.3959,120.7524,24.48,78,67,1.94,ID,1696110836
33,avarua,-21.2078,-159.775,27.03,83,40,4.63,CK,1696110615
34,ushuaia,-54.8,-68.3,13.81,24,0,3.6,AR,1696110837
35,laguna,38.421,-121.4238,23.39,56,75,2.06,US,1696110692
36,tomatlan,19.9333,-105.25,30.9,75,61,3.69,MX,1696110838
37,bam,29.106,58.357,21.99,19,1,0.67,IR,1696110838
38,san agustin de valle fertil,-30.6335,-67.4682,20.07,30,0,5.53,AR,1696110839
39,kuanda,56.3161,116.0806,3.69,74,91,0.26,RU,1696110839
40,hammerfest,70.6634,23.6821,7.25,100,75,3.09,NO,1696110840
41,thompson,55.7435,-97.8558,9.09,81,75,5.14,CA,1696110840
42,port lincoln,-34.7333,135.8667,14.03,71,4,3.88,AU,1696110841
43,port shepstone,-30.7414,30.455,17.79,65,92,12.83,ZA,1696110841
44,idfu,24.9803,32.8747,32.79,16,43,2.96,EG,1696110842
45,fernandina beach,30.6697,-81.4626,26.1,82,40,7.72,US,1696110692
46,xai-xai,-25.0519,33.6442,25.1,60,0,5.26,MZ,1696110842
47,vadso,70.0744,29.7487,7.49,87,75,2.57,NO,1696110843
48,fale old settlement,-9.3852,-171.2468,28.38,71,78,1.88,TK,1696110843
49,yemva,62.59,50.8594,11.06,90,100,4.37,RU,1696110844
50,luderitz,-26.6481,15.1594,16.58,67,0,6.32,NA,1696110844
51,aasiaat,68.7098,-52.8699,-5.6,84,70,3.93,GL,1696110844
52,micheweni,-4.9667,39.8333,24.62,79,2,4.53,TZ,1696110845
53,tsiombe,-25.3,45.4833,20.46,80,27,0.97,MG,1696110845
54,byron bay,-28.65,153.6167,19.84,63,0,6.79,AU,1696110846
55,port elizabeth,-33.918,25.5701,13.39,81,17,2.68,ZA,1696110775
56,kamuli,0.9472,33.1197,17.77,92,41,1.06,UG,1696110846
57,dapa,9.7594,126.0531,27.73,79,100,5.22,PH,1696110847
58,pontianak,-0.0333,109.3333,23.99,88,100,0.51,ID,1696110847
59,petropavlovka,50.6114,105.3196,4.55,79,0,1.38,RU,1696110848
60,constantia,44.1833,28.65,19.38,57,7,5.27,RO,1696110848
61,naze,28.3667,129.4833,24.51,85,14,2.88,JP,1696110848
62,wailua homesteads,22.0669,-159.378,30.24,73,75,6.69,US,1696110849
63,chelak,39.9203,66.8611,13.42,33,51,1.68,UZ,1696110849
64,harstad,68.799,16.5293,9.66,97,83,3.58,NO,1696110850
65,hadibu,12.65,54.0333,26.73,82,90,3.36,YE,1696110850
66,grytviken,-54.2811,-36.5092,1.74,85,15,5.21,GS,1696110850
67,kadugli,11.0167,29.7167,21.11,84,100,3.8,SD,1696110618
68,aoulef,26.9667,1.0833,32.42,21,0,11.09,DZ,1696110851
69,namibe,-15.1961,12.1522,17.37,87,49,2.51,AO,1696110852
70,durbuy,50.35,5.4667,13.37,76,26,2.03,BE,1696110852
71,voznesenskaya,44.5527,41.0318,14.83,67,33,4.16,RU,1696110853
72,klyuchi,52.2667,79.1667,8.85,88,97,3.04,RU,1696110853
73,blackmans bay,-43.0167,147.3167,20.07,49,70,4.97,AU,1696110854
74,bethel,41.3712,-73.414,17.93,86,100,0.45,US,1696110854
75,aykhal,66.0,111.5,0.78,98,100,1.35,RU,1696110855
76,kindu,-2.95,25.95,22.5,79,11,1.09,CD,1696110855
77,newman,37.3138,-121.0208,23.46,49,91,2.68,US,1696110855
78,atafu village,-8.5421,-172.5159,28.74,67,95,3.45,TK,1696110856
79,richards bay,-28.783,32.0377,20.14,78,26,7.5,ZA,1696110856
80,port mathurin,-19.6833,63.4167,23.04,77,14,9.65,MU,1696110856
81,macia,-25.0269,33.0989,25.2,45,0,3.67,MZ,1696110857
82,sitka,57.0531,-135.33,10.94,76,100,1.54,US,1696110857
83,kiomboi,-4.2667,34.3667,21.77,43,22,4.61,TZ,1696110858
84,yaya,56.206,86.44,-2.59,95,8,2.11,RU,1696110858
85,hotan,37.0997,79.9269,15.83,30,14,2.29,CN,1696110859
86,keflavik,64.0049,-22.5624,9.95,81,75,9.77,IS,1696110859
87,punta arenas,-53.15,-70.9167,7.06,70,100,13.89,CL,1696110860
88,east london,-33.0153,27.9116,15.57,64,90,9.79,ZA,1696110860
89,longyearbyen,78.2186,15.6401,-3.09,63,75,9.26,SJ,1696110860
90,rolante,-29.6506,-50.5758,17.03,96,100,1.37,BR,1696110861
91,mont-laurier,46.5501,-75.4993,23.79,71,8,0.5,CA,1696110790
92,sinabang,2.4803,96.3801,25.99,86,84,2.82,ID,1696110862
93,katsuura,35.1333,140.3,25.01,85,99,8.92,JP,1696110862
94,okha,53.5739,142.9478,9.39,92,78,2.78,RU,1696110863
95,main beach,-27.9788,153.4266,21.99,71,1,4.36,AU,1696110863
96,udachny,66.4167,112.4,1.36,92,100,2.13,RU,1696110864
97,sola,-13.8833,167.55,24.88,75,100,11.55,VU,1696110864
98,bredasdorp,-34.5322,20.0403,10.06,77,8,2.08,ZA,1696110864
99,pasuquin,18.3328,120.6177,26.97,94,20,1.54,PH,1696110865
100,lebu,-37.6167,-73.65,12.19,84,89,3.7,CL,1696110866
101,ad-damazin,11.7891,34.3592,25.11,81,50,3.21,SD,1696110866
102,bilibino,68.0546,166.4372,-7.57,94,100,1.19,RU,1696110867
103,olonkinbyen,70.9221,-8.7187,0.97,68,93,3.79,SJ,1696110867
104,goundam,16.4145,-3.6708,36.86,17,27,1.98,ML,1696110868
105,murun-kuren,49.6342,100.1625,3.4,59,27,1.21,MN,1696110868
106,el granada,37.5027,-122.4694,20.82,78,100,4.63,US,1696110869
107,neuwied,50.4333,7.4667,12.68,92,55,1.25,DE,1696110869
108,okhotsk,59.3833,143.3,6.85,78,100,2.37,RU,1696110869
109,sao jose da coroa grande,-8.8978,-35.1478,24.0,75,34,4.18,BR,1696110870
110,kulhudhuffushi,6.6221,73.07,26.84,81,100,8.29,MV,1696110870
111,whitehorse,60.7161,-135.0538,8.94,80,75,2.57,CA,1696110871
112,fenyi,27.8112,114.6681,22.46,95,99,1.31,CN,1696110871
113,isafjordur,66.0755,-23.124,5.75,88,100,3.65,IS,1696110872
114,maxixe,-23.8597,35.3472,23.63,87,0,5.5,MZ,1696110872
115,mejit,10.2753,170.8646,26.69,80,100,6.63,MH,1696110872
